pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,respuesta_correcta,puntos,explicacion,fase
"¿Cuál es el tiempo mínimo recomendado para el lavado y desinfección de manos en la línea de producción?","10 segundos","20 segundos con jabón bactericida y fricción","5 segundos con agua solamente","1 minuto completo","40 segundos sin secado",2,100,"Según BPM y normas de inocuidad, el lavado efectivo requiere al menos 20 segundos de fricción con jabón desinfectante.",1
"¿Qué tipo de contaminación ocurre si un operario usa guantes sucios para manipular producto terminado?","Contaminación Física","Contaminación Cruzada / Biológica","Contaminación Radiológica","Contaminación Atmosférica","",2,100,"La transferencia de microorganismos de una superficie sucia al alimento listo para consumo es contaminación cruzada.",1
"Ante la detección de un objeto extraño metálico en la tolva de amasado, ¿cuál es la acción inmediata?","Ignorarlo y continuar","Detener la línea inmediatamente y dar aviso a Calidad / Supervisor","Retirarlo al final del turno","Aumentar la velocidad del proceso","",2,150,"Cualquier peligro físico detectado exige la detención inmediata y notificación al área de Calidad para trazabilidad.",1
"¿Cuál de las siguientes indumentarias está prohibida en zona de elaboración según el estándar Don Yeyo?","Cofia cubriendo todo el cabello","Barbijos o cubrebarba si corresponde","Anillos, aros, relojes y cadenas","Calzado de seguridad exclusivo de planta","",3,100,"Todo tipo de joyería y accesorios personales representan un peligro físico y fuente de contaminación en planta.",1
"¿Qué significa la sigla BPM en la industria alimentaria de Don Yeyo?","Buenas Prácticas de Manufactura","Bases Para el Mantenimiento","Buenas Políticas de Manejo","Balance de Producción Mensual","",1,100,"BPM (Buenas Prácticas de Manufactura) son los principios básicos y prácticas de higiene para garantizar alimentos seguros.",1
"En el sistema HACCP, ¿qué es un PCC (Punto Crítico de Control)?","Una etapa donde se revisa el costo del producto","Una etapa donde se puede aplicar un control esencial para prevenir o eliminar un peligro de inocuidad","Un punto de reunión en emergencias","La hora de descanso del personal","",2,150,"Un PCC es una fase en la que es vital aplicar control para reducir un peligro a niveles aceptables.",2
"Si un termómetro de cámara de refrigeración marca 12°C cuando el límite crítico es máximo 4°C, ¿qué debe hacerse?","Abrir la puerta para ventilar","Registrar el desvío, retener el lote y alertar inmediatamente a Calidad","Esperar al siguiente turno para ver si baja","Apagar la alarma sonora","",2,150,"Superar el límite crítico de temperatura compromete la cadena de frío y requiere acción correctiva inmediata.",2
"¿Por qué es fundamental la rotación de materias primas bajo el criterio FIFO (Primero que Entra, Primero que Sale)?","Para evitar el vencimiento y deterioro de ingredientes","Para gastar menos energía eléctrica","Para ordenar las estanterías por color","Para que el camión no espere","",1,100,"El sistema FIFO garantiza frescura, previene materias primas caducadas y asegura la calidad organoléptica.",2
"¿Qué producto químico está autorizado para desinfección directa de superficies en contacto con masas?","Detergente industrial no apto alimenticio","Sanitizante de grado alimenticio aprobado según concentración estipulada","Lavandina pura sin dilución","Alcohol etílico al 96% sin dosificar","",2,120,"Solo sanitizantes aprobados para contacto alimentario en dosis precisas aseguran desinfección sin contaminación química.",2
"¿Cuál es el procedimiento correcto al toser o estornudar dentro de la nave de envasado?","Girar hacia la cinta de empaque","Apartarse de la línea, cubrirse con el pliegue del codo, cambiarse barbijo/cofia y lavarse las manos","Taparse con las manos y seguir operando","No hacer nada","",2,100,"Protege el producto y obliga a higienizar manos y recambio de EPP antes de reanudar la manipulación.",3
"En el Plan de Limpieza y Desinfección (POES), ¿cuál es la diferencia entre limpiar y desinfectar?","Son exactamente lo mismo","Limpiar elimina suciedad visible; desinfectar reduce microorganismos a niveles seguros","Desinfectar es solo pasar un trapo húmedo","Limpiar requiere químicos fuertes y desinfectar solo agua fría","",2,150,"Limpieza remueve materia orgánica/suciedad, mientras que la desinfección inactiva la carga microbiana residual.",3
"¿Qué acción se debe tomar si se detecta presencia o indicios de plagas en el depósito de harina?","Colocar veneno casero en la esquina","Aislar la zona, retener la materia prima afectada y reportar al responsable de MIP y Calidad","Ignorarlo si es un insecto pequeño","Barrer hacia afuera","",2,150,"El Manejo Integrado de Plagas (MIP) prohíbe pesticidas no controlados y exige reporte inmediato y aislamiento.",3
"¿Qué documento acredita que un lote de panificado cumple todas las especificaciones de inocuidad antes del despacho?","Remito comercial simple","Certificado de Calidad y Liberación de Lote","Factura de venta","Planilla de asistencia del personal","",2,120,"La liberación de lote formal garantiza que se validaron todos los controles microbiológicos y de proceso.",3
